  -5.0004582e+01  -1.2001731e+02  -7.0799206e-02   1.3042614e+00
  -4.8948829e+01  -1.1995795e+02   7.5988394e-02   1.2211071e+00
  -4.7993927e+01  -1.2000969e+02   8.4936518e-03   1.1453188e+00
  -4.7072349e+01  -1.1996936e+02   3.2783469e-02   1.0674443e+00
  -4.6052863e+01  -1.1992487e+02  -5.6263366e-02   9.8149236e-01
  -4.4955984e+01  -1.2003897e+02   3.4616390e-02   8.9728134e-01
  -4.3960893e+01  -1.2006452e+02  -7.4984423e-02   8.2333384e-01
  -4.2922812e+01  -1.2001634e+02  -6.3031004e-02   7.5111137e-01
  -4.1925591e+01  -1.1994642e+02  -3.6011295e-02   6.8998657e-01
  -4.1021179e+01  -1.2007762e+02   2.7120941e-02   6.5001057e-01
  -3.9950188e+01  -1.2000440e+02   5.5629758e-02   6.0767434e-01
  -3.9092042e+01  -1.2007655e+02  -4.5210398e-02   5.8868723e-01
  -3.8006460e+01  -1.1997997e+02   5.9665983e-02   5.7274522e-01
  -3.7076655e+01  -1.2008124e+02  -4.4599207e-02   5.7811644e-01
  -3.6043604e+01  -1.1997978e+02   1.6395077e-02   5.9099537e-01
  -3.5042311e+01  -1.1992903e+02  -5.8620265e-02   6.1863086e-01
  -3.3903026e+01  -1.2007173e+02   7.4911280e-02   6.7189201e-01
  -3.3019832e+01  -1.1992471e+02   8.3867971e-02   7.1476701e-01
  -3.1969543e+01  -1.1994246e+02  -5.0662862e-02   7.8201814e-01
  -3.1035852e+01  -1.1992199e+02   7.3038891e-02   8.4808910e-01
  -2.9937419e+01  -1.2008206e+02  -6.0664359e-02   9.3863250e-01
  -2.9097826e+01  -1.1991284e+02  -5.5973593e-02   1.0014654e+00
  -2.7944047e+01  -1.1996355e+02   8.1520469e-02   1.0990578e+00
  -2.7085307e+01  -1.1994592e+02   2.7964910e-03   1.1694044e+00
  -2.6065346e+01  -1.2007157e+02  -8.1695888e-02   1.2550613e+00
  -2.5011426e+01  -1.1990758e+02   6.1082819e-03   1.3284043e+00
  -2.4010555e+01  -1.2005765e+02   2.1197559e-02   1.4008063e+00
  -2.3069327e+01  -1.1997418e+02   1.1268546e-02   1.4532561e+00
  -2.1977256e+01  -1.1991001e+02   1.5407435e-03   1.5033714e+00
  -2.0975448e+01  -1.1993382e+02  -1.9865614e-03   1.5395090e+00
  -2.0048026e+01  -1.2003397e+02   7.5459093e-02   1.5639288e+00
  -1.9015078e+01  -1.2008030e+02   9.0570222e-02   1.5752069e+00
  -1.7909956e+01  -1.1998841e+02   3.7469350e-02   1.5662496e+00
  -1.6911192e+01  -1.2000875e+02  -6.3720984e-02   1.5471727e+00
  -1.5929511e+01  -1.1991445e+02  -7.0659263e-02   1.5118740e+00
  -1.4959967e+01  -1.1990508e+02   9.8024402e-02   1.4681845e+00
  -1.3943382e+01  -1.2009424e+02  -6.8305812e-02   1.4178087e+00
  -1.2941545e+01  -1.1998502e+02   9.3530489e-02   1.3488255e+00
  -1.1913223e+01  -1.1993072e+02   2.8056388e-02   1.2719409e+00
  -1.1028515e+01  -1.1998661e+02  -5.1928511e-02   1.2043675e+00
  -1.0000443e+01  -1.1996969e+02  -4.7200230e-02   1.1196487e+00
  -9.0195807e+00  -1.1994964e+02   4.2103687e-02   1.0373481e+00
  -8.0536762e+00  -1.1994149e+02   3.1182423e-02   9.5755337e-01
  -6.9075567e+00  -1.2009423e+02  -8.3050141e-02   8.7218727e-01
  -6.0276738e+00  -1.2009862e+02  -4.7905037e-02   8.0779312e-01
